GeoName,2006,2007,2008,2009,2010,2011,2012
Alabama,31306,32573,33377,32631,33844,34942,35818
Alaska *,40881,43676,47569,46858,49247,52032,53122
Arizona,34667,35776,35543,33327,33559,34932,36132
Arkansas,29422,31062,31935,31152,31866,33801,36124
California,42139,43669,43895,42050,43609,46145,48751
Colorado,39997,41889,42492,39851,40549,43502,45637
Connecticut,54183,58122,61209,59994,62185,63769,64958
Delaware,40995,41681,40768,40697,40799,43835,43964
District of Columbia,56138,60058,61240,60455,63655,67654,68627
Florida,38414,39545,39240,36580,38511,40120,40944
Georgia,34609,35443,35113,34028,34524,36652,37110
Hawaii *,38766,40679,42160,41593,41869,43475,44828
Idaho,31322,32554,32646,31142,31921,33503,35187
Illinois,40278,42422,43306,41071,42088,44172,46067
Indiana,32973,33913,35152,34015,35358,37535,39209
Iowa,34348,36645,38576,37202,38146,40992,42930
Kansas,35408,37776,40738,39002,39421,42630,45005
Kentucky,30507,31599,32745,32160,33121,34582,35703
Louisiana,33410,35832,37872,36375,37510,38513,40412
Maine,34397,35614,36951,36917,37854,39350,40185
Maryland,45796,47465,49307,48609,49862,52229,53320
Massachusetts,48012,50254,51859,50962,53073,55281,57353
Michigan,33624,34704,35595,33938,35302,37482,38983
Minnesota,39531,41527,42934,40860,42479,45162,47666
Mississippi,27907,29406,30544,29938,30948,32190,33326
Missouri,33965,35360,37038,36158,36784,38209,40007
Montana,31828,33865,35250,34279,35899,38172,40301
Nebraska,35863,38442,40302,39279,40868,45326,46428
Nevada,39792,40159,38725,36334,37445,38697,39764
New Hampshire,43346,44878,45897,45283,47320,49640,51901
New Jersey,48025,50802,52042,50176,51379,53582,55354
New Mexico,30427,31752,33355,32737,33547,35048,35796
New York,44335,47619,48259,47371,49181,51689,54291
North Carolina,34241,36072,37636,35746,35592,36665,38854
North Dakota,33005,36455,40620,39863,43655,48090,55414
Ohio,34240,35624,36724,35638,36663,39148,40695
Oklahoma,34337,35170,38557,35347,36528,39041,41474
Oregon,34862,35955,37015,35402,36050,37788,39566
Pennsylvania,38115,40314,41575,40398,41997,44152,45982
Rhode Island,39186,41049,41787,40760,42875,44607,46276
South Carolina,30882,32249,32951,31724,32454,34047,35503
South Dakota,35125,38579,40836,39255,41058,44497,45068
Tennessee,33040,34178,35020,34462,35835,37798,39439
Texas,35106,36583,39349,36740,38306,41258,43477
Utah,31454,33247,34009,31907,32194,34209,36167
Vermont,36830,38802,40645,39996,41204,43676,45242
Virginia,42505,44289,45501,44026,45405,47647,49431
Washington,40265,43125,44550,41851,42533,44571,47737
West Virginia,28546,29551,31328,31470,32390,34206,35169
Wisconsin,36297,37764,38914,38085,38995,41112,42947
Wyoming,43192,44905,48227,43488,46010,50081,53680
